"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: initialCapacity","Param: loadFactor"
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,6.224000,7.371886,"us/op",16,0.125
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,6.337800,12.733254,"us/op",16,0.250
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,4.276900,8.612197,"us/op",16,0.375
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1.650400,0.256841,"us/op",16,0.5
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1.203900,0.207249,"us/op",16,0.625
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1.928700,1.936118,"us/op",16,0.75
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1.138900,0.141327,"us/op",16,0.875
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,1.161400,0.265336,"us/op",16,1
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,8.324500,32.208190,"us/op",100,0.125
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,5.177200,16.619078,"us/op",100,0.250
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,2.705100,3.852918,"us/op",100,0.375
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,3.328900,5.556162,"us/op",100,0.5
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,4.898100,12.201993,"us/op",100,0.625
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,4.423700,12.785171,"us/op",100,0.75
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,2.184000,2.302175,"us/op",100,0.875
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,4.726600,10.687025,"us/op",100,1
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,10.025800,12.629388,"us/op",1024,0.125
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,10.051500,12.887185,"us/op",1024,0.250
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,5.903200,9.522818,"us/op",1024,0.375
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,8.857000,12.769321,"us/op",1024,0.5
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,10.289300,17.060917,"us/op",1024,0.625
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,6.048200,7.330945,"us/op",1024,0.75
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,6.415900,8.926652,"us/op",1024,0.875
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,3.995500,1.109827,"us/op",1024,1
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,8.361700,11.342577,"us/op",1000,0.125
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,5.338700,1.397116,"us/op",1000,0.250
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,8.270900,12.962003,"us/op",1000,0.375
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,7.784700,8.244960,"us/op",1000,0.5
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,4.634000,1.468290,"us/op",1000,0.625
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,8.814200,11.858004,"us/op",1000,0.75
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,9.239600,14.815201,"us/op",1000,0.875
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,7.635300,10.756385,"us/op",1000,1
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,41.928900,30.565836,"us/op",10000,0.125
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,48.101600,30.979527,"us/op",10000,0.250
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,39.781900,27.233698,"us/op",10000,0.375
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,26.520400,4.369371,"us/op",10000,0.5
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,38.986600,25.157360,"us/op",10000,0.625
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,37.533400,22.136237,"us/op",10000,0.75
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,45.168100,22.925255,"us/op",10000,0.875
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,44.706900,26.883658,"us/op",10000,1
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,107.563600,19.463890,"us/op",65536,0.125
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,121.682800,27.627187,"us/op",65536,0.250
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,113.691200,34.200337,"us/op",65536,0.375
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,109.180000,35.040170,"us/op",65536,0.5
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,104.361200,19.323886,"us/op",65536,0.625
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,117.879000,44.376507,"us/op",65536,0.75
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,114.226500,28.064517,"us/op",65536,0.875
"com.abyrne133.benchmarking.JavaHashMapBenchMarkPut.put","ss",1,10,119.571500,38.936029,"us/op",65536,1
